year_month,top_1_share,top_10_share,hhi,active_customers,net_revenue_retention
2019-12,0.06653288517102342,0.36012459455394147,223.15929007113667,103,
2020-01,0.06614980724376439,0.3585717435453462,221.6983658914731,103,
2020-02,0.06590474551621982,0.3578219076245279,220.81101075974289,103,
2020-03,0.06543962448532989,0.35661404214322234,219.49066939297316,103,
2020-04,0.06515257166650347,0.357364653198064,219.35423021129472,104,
2020-05,0.06441811593320654,0.35660614047339323,218.2529781902295,105,
2020-06,0.06378000400240962,0.35628253314700103,217.30957796453268,105,
2020-07,0.06309391063623748,0.3553077143871211,216.17104760315587,106,
2020-08,0.06232679494638445,0.3538016601938952,214.83489852103997,108,
2020-09,0.06184774043232849,0.352408380180155,213.84585869917555,108,
2020-10,0.06102621047164552,0.3513292648793261,212.44372543069272,108,
2020-11,0.06055014562693396,0.35133443370760487,211.9145856391162,108,
2020-12,0.059972446155863515,0.35097865890196916,211.30694974980878,108,0.952741165768503
2021-01,0.059567355733158925,0.3510734873219292,211.2554665077107,108,0.9487086924403982
2021-02,0.05896758200811411,0.35026984930060645,210.4439337334617,108,0.94274830474222
2021-03,0.05836650881552407,0.34965386454208225,209.32202486306548,108,0.9452633711134794
2021-04,0.057728758579901,0.3474467828094281,207.1651809090388,108,0.9546920641890094
2021-05,0.05735751855869524,0.34608668111467,205.49341508513484,108,0.9592217857713549
2021-06,0.056920972348078164,0.3442644800973621,203.75217309999178,109,0.9682185179383782
2021-07,0.056455141844378956,0.3424002292303634,202.3089807312943,110,0.985928027433144
2021-08,0.05636182439379457,0.34179289972145416,201.63265511263643,110,1.009393538359723
2021-09,0.05630811229997365,0.34070629191359453,200.7015173582535,111,1.0159119991197139
2021-10,0.05577119195641616,0.33936257636925404,199.40307842011543,112,1.025202943819355
2021-11,0.05535905570063021,0.33852894674036804,198.2005167202316,113,1.0312950238389562
2021-12,0.055241335905247636,0.3367909728209813,196.80437989237015,113,1.0391428030310335
2022-01,0.0548386103943209,0.33483273546584025,195.14543415487094,113,1.0473967280533425
2022-02,0.05473954471916285,0.33320942735237946,193.72767040535453,113,1.0575520198224457
2022-03,0.05459347520125861,0.3308997709701441,192.03190338243098,113,1.0642847629359067
2022-04,0.054321420509357676,0.3289893819318052,190.50392076307767,113,1.0736984376736391
2022-05,0.053925141298123785,0.32693946730393,189.00757805843384,113,1.0823961991220143
2022-06,0.053656100190560864,0.3247082344787301,187.6410239961515,114,1.0931603495071236
2022-07,0.05362528521463641,0.3220725454572132,186.2269406081314,114,1.100390042670341
2022-08,0.05330642359351504,0.3195383464073896,184.77598946660706,115,1.1054358830975892
2022-09,0.052771616108619995,0.3177430230796134,183.50380294824663,114,1.1172134223217218
2022-10,0.05271667860685867,0.31676719585378477,182.93549444778589,114,1.1376916740882657
2022-11,0.05229110087963981,0.3151500205312501,181.7308637451187,115,1.1464221464907787
2022-12,0.051991689423549016,0.31418899223351815,180.76096420516322,115,1.1501364386655475
2023-01,0.05157996819137295,0.3134457014779142,180.06738064643548,115,1.149455029361348
2023-02,0.05127880561943563,0.31290538310071747,179.45091051232785,115,1.14503256961879
2023-03,0.05083087147518543,0.31238141015063897,178.7142830567402,115,1.1394417911879915
2023-04,0.050592943863539706,0.31145597729550806,178.152663772269,115,1.1323839269218174
2023-05,0.05049462046138462,0.31081937676899063,177.71388785864505,115,1.1249018979300076
2023-06,0.05026408000038275,0.30977902989740896,177.06720929897773,115,1.1158513501044618
2023-07,0.049828272006095166,0.30873561877766553,176.3892083559257,115,1.1064552547092306
2023-08,0.04948041139977489,0.30739916919591037,175.74219830187403,115,1.1060452575355297
2023-09,0.04916044362125533,0.3057995482061931,175.02381788334304,116,1.0970681565799127
2023-10,0.04844060642380308,0.3042912770655273,174.1083988907558,115,1.0867983816937266
2023-11,0.04791565017189611,0.30327700851888767,173.58101863238943,115,1.0945825612866553
2023-12,0.047258662404113534,0.30329194876469123,173.39602340882803,115,1.0901063669407018
2024-01,0.047071911130239,0.30316837981734013,173.2777822190972,115,1.0881930753977527
2024-02,0.046644231785470024,0.3032717853415767,173.12077708491802,115,1.087741871606937
2024-03,0.0464968074050597,0.3033496826657301,173.19485895072387,115,1.0865626028295101
2024-04,0.04614002426797505,0.30370997282488066,173.2554183781456,114,1.0854585000480026
2024-05,0.0457672538780922,0.3038416295823003,173.29140687033131,114,1.0991511494935273
2024-06,0.04549754376721795,0.30362635020860795,173.40314925213303,114,1.0991919615402752
2024-07,0.045343823882520014,0.30320999056846865,173.51399357706092,114,1.0973096150233397
2024-08,0.04516490407312065,0.3037060306983662,173.96619254723706,114,1.0970015856040232
2024-09,0.04492161700422642,0.30383538965767215,174.32652426079824,114,1.1034794177098124
2024-10,0.04472607475162247,0.3038482551896994,174.73642299655836,114,1.1066216982177448
2024-11,0.044349726433669134,0.3045751511318617,175.35968488302214,114,1.107490867337372
2024-12,0.04401212995932207,0.3044087740270607,175.5241936127234,114,1.1082327813700508
2025-01,0.04379836557889373,0.304584534763253,175.6592419107683,114,1.1076818456870448
2025-02,0.043588334028619474,0.30473553143866006,175.85540947633606,114,1.1067945951938807
2025-03,0.0433350243749205,0.30449886413112476,175.8361330539899,113,1.10733983625832
2025-04,0.042975414057319125,0.3043129744522196,175.75503080035404,113,1.10665403277407
2025-05,0.04274643226449087,0.3042063141564422,175.7232282682376,113,1.1078296281346445
2025-06,0.04241083475738248,0.30432028524761356,175.8585219525547,113,1.1088478389800627
2025-07,0.0421676692888263,0.3044951419723617,176.04819493474255,113,1.121291182158836
2025-08,0.04200383808391397,0.30411827090284665,176.04976037162407,113,1.1237167033427464
2025-09,0.04174441427198501,0.304140563845699,176.28115329971905,113,1.1260433438753297
2025-10,0.04162277870730139,0.3043218732330926,176.66754062555287,112,1.1262884652842577
2025-11,0.04146224661659538,0.30371429510115877,176.7081927682443,112,1.1245604112533703
2025-12,0.04126515193484915,0.3036954113074952,177.13398014829684,112,1.1235998499324975
2026-01,0.04110667462250652,0.30371821907651075,177.61024456680056,112,1.124245207259854
2026-02,0.04083246852478592,0.30455823250304914,178.21529730303865,112,1.1250981677089733
2026-03,0.04032532169054891,0.306140694549115,178.85120609769157,112,1.1244462657516825
2026-04,0.040105950513050326,0.30768429347331655,179.54121273251957,112,1.1254167147890797
2026-05,0.03979092278286663,0.3090359832718776,180.15681366040639,112,1.1257707310922604
2026-06,0.03961932518925188,0.3101923871491056,180.63190162897263,111,1.125243119173073
