horizon,mae,rmse,mape,smape,wape,bias_pct,n_obs,actual_eur
12,336047.44550419395,647928.840995189,19.084701875530676,23.48065611424974,12.6855356783302,0.016442788287419872,312,826506705.4000001
11,369638.54482748924,819923.0972048055,19.77295170919585,25.644392855470148,14.11840313803117,-0.5224668070264151,312,816857436.77
10,354345.21932841156,813292.587310464,19.207764054301972,23.376104381144714,13.763084375661816,0.15895674445423907,312,803277124.61
9,316158.4174818119,662522.737765374,18.693737668706774,22.458057268058905,12.2928486624754,-1.3985929647676876,312,802429355.17
8,327471.69170507917,674541.0584008647,16.836559996661748,20.8893124216515,12.888510638621712,-1.3972565634780287,312,792730600.74
6,299202.30763457046,648377.6732066447,14.469998587558305,19.85102150104538,11.942505821356944,-4.348490325400462,312,781671128.1399999
7,287159.7250925803,612373.4664809393,15.280160283680264,20.34817728355743,11.487377533924018,-3.918729008911834,312,779932878.19
5,288830.9802732002,680514.6526986228,13.29135598600658,18.28192323559343,11.672552941448169,-4.44517455125076,312,772027047.53
3,203726.5177742497,400579.0823160045,9.655431610840054,14.624864330068126,8.356021362645368,-3.8835011884260355,312,760681079.99
4,264241.76630403014,627465.8320894496,11.552547390199296,17.331488771982194,10.846460212553136,-4.499038094160112,312,760095270.45
2,201148.1918125777,439600.9594477994,8.49167573725906,13.661315254937737,8.355968384647449,-2.9328632384913362,312,751058799.61
1,163246.0679164664,336461.583166651,6.96661467030677,14.486682037349022,6.911280094921198,-2.4048848045284412,312,736951367.77
