country_code,product_id,origin_year_month,target_year_month,horizon,y,model,fold,origin,y_pred,error,abs_error
AT,P01,2025-06,2025-07,1,626683.27,seasonal_naive,1,2025-06,742698.24,116014.96999999997,116014.96999999997
AT,P02,2025-06,2025-07,1,3424537.25,seasonal_naive,1,2025-06,2884408.15,-540129.1000000001,540129.1000000001
AT,P03,2025-06,2025-07,1,2290168.5500000003,seasonal_naive,1,2025-06,2077771.93,-212396.62000000034,212396.62000000034
AT,P04,2025-06,2025-07,1,704607.53,seasonal_naive,1,2025-06,602210.58,-102396.95000000007,102396.95000000007
AT,P05,2025-06,2025-07,1,1210445.68,seasonal_naive,1,2025-06,1023030.27,-187415.40999999992,187415.40999999992
AT,P06,2025-06,2025-07,1,0.0,seasonal_naive,1,2025-06,0.0,0.0,0.0
AT,P07,2025-06,2025-07,1,793868.23,seasonal_naive,1,2025-06,684034.88,-109833.34999999998,109833.34999999998
CZ,P03,2025-06,2025-07,1,197621.4,seasonal_naive,1,2025-06,162853.83,-34767.57000000001,34767.57000000001
CZ,P04,2025-06,2025-07,1,153415.95,seasonal_naive,1,2025-06,140721.83,-12694.120000000024,12694.120000000024
CZ,P05,2025-06,2025-07,1,1328397.08,seasonal_naive,1,2025-06,1506281.3499999999,177884.2699999998,177884.2699999998
CZ,P06,2025-06,2025-07,1,170288.43,seasonal_naive,1,2025-06,148492.75,-21795.679999999993,21795.679999999993
CZ,P07,2025-06,2025-07,1,47890.19,seasonal_naive,1,2025-06,40608.71,-7281.480000000003,7281.480000000003
DE,P01,2025-06,2025-07,1,3033643.4000000004,seasonal_naive,1,2025-06,3697866.98,664223.5799999996,664223.5799999996
DE,P02,2025-06,2025-07,1,5656110.6899999995,seasonal_naive,1,2025-06,4990893.87,-665216.8199999994,665216.8199999994
DE,P03,2025-06,2025-07,1,10676101.790000001,seasonal_naive,1,2025-06,8764870.18,-1911231.6100000013,1911231.6100000013
DE,P04,2025-06,2025-07,1,5261011.1899999995,seasonal_naive,1,2025-06,4434444.69,-826566.4999999991,826566.4999999991
DE,P05,2025-06,2025-07,1,7214139.24,seasonal_naive,1,2025-06,7351817.45,137678.20999999996,137678.20999999996
DE,P06,2025-06,2025-07,1,5820070.28,seasonal_naive,1,2025-06,4485429.6,-1334640.6800000006,1334640.6800000006
